ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
DPR,3,2015,3.1,0.3,4.3,,0.092,0.062,25,116,9,17.4,4819.0,51542.0,,,,,,0.665,,,4.3,6.8,5.8,-0.147,4715.0,0.197,0.113,0.146,0.1,0.1,1.1,0.0,1.5,1033,0.249,0.509,132,14.6,-0.113,0.3,1.2,0.113,1.5,,,,,,,,,0.2,,-0.165,0.015,
DPR,2,2015,2.6,0.3,3.1,,0.111,0.074,7,119,14,605.0,5649.0,50776.0,,,,,,0.662,,,4.1,5.5,4.7,0.237,5644.0,0.438,0.323,0.45,0.1,0.1,0.9,0.0,1.5,954,0.284,0.591,112,51.5,-0.152,0.3,1.3,0.323,1.8,,,,,,,,,0.2,,0.268,0.235,
DPR,1,2015,3.5,0.4,7.0,,0.086,0.06,18,90,8,24.4,4565.0,41114.0,,,,,,0.542,,,4.0,8.9,7.8,-0.084,4451.0,0.294,0.195,0.194,0.1,0.1,1.0,0.0,1.8,969,0.294,0.506,100,20.5,-0.087,0.3,1.3,0.195,1.3,,,,,,,,,0.2,,0.017,0.019,
DPR,4,2014,,,5.1,,0.096,0.069,11,120,2,36.5,4984.0,40342.0,,,,,,0.522,,,3.3,4.9,3.9,-0.253,4377.0,0.179,0.115,0.169,0.1,0.1,1.0,0.3,1.9,1038,0.291,0.479,129,33.1,-0.123,0.3,0.9,0.115,1.4,,,,,,,,,0.3,,-0.328,-0.054,
DPR,3,2014,,,5.4,,0.128,0.093,28,147,9,75.9,6674.0,42653.0,,,,,,0.551,,,3.6,5.4,4.3,-0.009,6511.0,0.321,0.265,0.232,0.1,0.1,0.6,0.2,1.8,1127,0.264,0.327,166,13.2,-0.103,0.3,1.2,0.265,1.1,,,,,,,,,0.3,,-0.012,0.033,
DPR,2,2014,,,4.8,,0.132,0.096,12,160,12,19.7,6735.0,41300.0,,,,,,0.536,,,3.2,3.9,3.0,-0.169,6590.0,0.226,0.124,0.181,0.1,0.1,0.5,0.3,1.9,1030,0.248,0.322,160,29.5,-0.076,0.3,1.3,0.124,1.9,,,,,,,,,0.3,,-0.157,-0.077,
DPR,1,2014,,,3.6,,0.153,0.116,22,125,6,28.1,8106.0,44737.0,,,,,,0.591,,,4.8,5.2,4.3,-0.064,7821.0,0.313,0.229,0.266,0.1,0.0,0.3,1.8,1.7,1128,0.214,0.284,140,16.6,-0.057,0.4,1.1,0.229,1.3,,,,,,,,,0.2,,-0.07,-0.127,
DPR,4,2013,,,4.5,,0.167,0.131,19,117,1,272.3,8660.0,51229.0,,,,,,0.764,,,4.5,4.8,3.9,-0.078,8413.0,0.422,0.355,0.361,0.1,0.0,0.3,1.6,1.3,1112,0.267,0.312,135,19.6,-0.082,0.4,1.1,0.355,1.1,,,,,,,,,0.2,,-0.052,0.033,
DPR,3,2013,,,4.1,,0.189,0.15,29,112,7,64.2,9395.0,49613.0,,,,,,0.747,,,4.0,4.4,3.6,-0.179,8871.0,0.318,0.27,0.235,0.1,0.0,0.2,1.1,1.3,1106,0.202,0.216,134,12.7,-0.121,0.4,1.1,0.27,0.9,,,,,,,,,0.2,,-0.161,0.022,
DPR,2,2013,,,3.1,,0.242,0.191,14,118,5,-228.4,11444.0,48568.0,,,,,,0.767,,,4.7,5.0,4.0,-0.004,10572.0,0.49,0.408,0.492,0.0,0.0,0.2,1.1,1.3,1070,0.271,0.314,126,26.2,-0.113,0.5,1.1,0.408,1.4,,,,,,,,,0.2,,-0.011,-0.022,
