ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
KDH,1,2017,641,0.127,-0.707,-403,239,-84.0,155.0,-0.067,-0.282,-2,150,119,110,0.176,0.029,,,,,,159.0
KDH,4,2016,2189,5.543,4.331,-1868,321,-106.0,216.0,3.022,0.925,-30,165,125,107,0.196,0.521,,,,,,217.0
KDH,3,2016,411,0.609,-0.398,-230,181,-69.0,112.0,1.605,-0.406,-7,89,56,70,-0.001,-0.342,,,,,,113.0
KDH,2,2016,682,1.271,0.199,-434,248,-60.0,188.0,1.616,0.135,-4,154,114,107,1.173,0.143,,,,,,191.0
KDH,1,2016,569,2.172,0.701,-346,223,-57.0,166.0,3.751,2.096,-5,136,97,94,0.789,0.046,,,,,,169.0
KDH,4,2015,335,-0.198,0.311,-199,135,-82.0,54.0,0.658,0.247,0,110,108,89,1.883,0.269,,,,,,54.0
KDH,3,2015,255,1.265,-0.151,-198,57,-14.0,43.0,,-0.403,-1,83,70,70,1.311,0.432,,,,,,44.0
KDH,2,2015,301,132.629,0.675,-206,94,-22.0,72.0,,1.062,-1,65,47,49,0.625,-0.059,,,,,,73.0
KDH,1,2015,179,1.255,-0.57,-123,56,-21.0,35.0,0.632,0.08,-3,62,51,52,4.084,0.686,,,,,,36.0
KDH,4,2014,417,25.581,2.704,-353,64,-32.0,32.0,,,-20,9,2,31,,0.017,,,,,,33.0
KDH,3,2014,113,3.0,49.091,-109,4,-12.0,-8.0,,,-6,36,21,30,,0.007,,,,,,-7.0
KDH,2,2014,2,,-0.972,-9,-7,-11.0,-18.0,,,-6,43,30,30,,1.944,,,,,,-17.0
KDH,1,2014,80,-0.342,4.067,-50,29,-8.0,21.0,0.409,,-6,17,10,10,0.205,,,,,,,22.0
KDH,4,2013,16,,-0.443,-18,-2,-17.0,-20.0,,,-4,-6,-1,-12,,,,,,,,-48.0
KDH,3,2013,28,0.21,,-32,-4,1.0,-4.0,,,-24,-114,-92,-91,,,,,,,,14.0
KDH,2,2013,-52,,,-5,-57,-7.0,-64.0,,,-1,-73,-59,-57,,,,,,,,-53.0
KDH,1,2013,121,4.504,,-79,42,-27.0,15.0,0.467,,-13,3,1,9,8.914,,,,,,,19.0
KDH,4,2012,-6,,,-29,-35,-10.0,-44.0,,,-11,-76,-60,-58,,,,,,,,-41.0
