ticker,quarter,year,shortAsset,cash,shortInvest,shortReceivable,inventory,longAsset,fixedAsset,asset,debt,shortDebt,longDebt,equity,capital,centralBankDeposit,otherBankDeposit,otherBankLoan,stockInvest,customerLoan,badLoan,provision,netCustomerLoan,otherAsset,otherBankCredit,oweOtherBank,oweCentralBank,valuablePaper,payableInterest,receivableInterest,deposit,otherDebt,fund,unDistributedIncome,minorShareHolderProfit,payable
VIC,3,2022,269409,26450,2197,129462,85751,286162,114594,555571,418346,62820,109703,137225,38689,,,,,,,,,,,,,,,,,67744,,0.0,26462.0,418346
VIC,2,2022,257500,42209,6097,104422,80978,271458,113397,528958,396914,45924,110949,132044,38689,,,,,,,,,,,,,,,,,69290,,0.0,26380.0,396914
VIC,1,2022,169507,15242,3649,83586,52375,271860,127068,441367,306808,30199,109349,134558,38689,,,,,,,,,,,,,,,,,38682,,0.0,32215.0,306808
VIC,4,2021,163351,19653,6758,74343,50910,263973,130455,427324,268177,20035,102180,159147,38676,,,,,,,,,,,,,,,,,39344,,0.0,59500.0,268177
VIC,3,2021,180400,21263,7602,83793,55382,253202,123391,433603,269306,26629,102281,164297,38676,,,,,,,,,,,,,,,,,31515,,0.0,64865.0,269306
VIC,2,2021,167654,23303,10328,64859,56697,251294,126707,418948,274561,32767,105406,144388,34448,,,,,,,,,,,,,,,,,30163,,0.0,55154.0,274561
VIC,1,2021,162829,23042,5969,59565,62788,257004,125040,419833,280058,34038,98827,139774,34448,,,,,,,,,,,,,,,,,38911,,0.0,58523.0,280058
VIC,4,2020,164454,28176,11764,55765,57225,259814,125080,424268,288511,26849,98309,135757,34448,,,,,,,,,,,,,,,,,46558,,0.0,56770.0,288511
VIC,3,2020,182769,30289,4988,58665,72028,247242,120698,430011,305459,30629,107564,124552,34448,,,,,,,,,,,,,,,,,53129,,0.0,42456.0,305459
VIC,2,2020,185917,26969,871,62466,82724,241267,119489,427184,303487,42123,96281,123697,34448,,,,,,,,,,,,,,,,,50042,,0.0,42509.0,303487
VIC,1,2020,189222,11000,9483,60437,84452,224391,114067,413613,291501,42353,83793,122112,34448,,,,,,,,,,,,,,,,,50330,,0.0,44294.0,291501
VIC,4,2019,201493,18489,10420,68076,83273,207079,108679,408573,287972,31045,86481,120601,34309,,,,,,,,,,,,,,,,,50468,,0.0,44172.0,287972
VIC,3,2019,166286,16527,880,64303,77341,190873,79447,357159,231751,33803,63038,125408,34299,,,,,,,,,,,,,,,,,27205,,0.0,48490.0,231751
VIC,2,2019,163522,23549,1051,73341,49297,174834,79082,338356,212135,23113,68906,126221,34299,,,,,,,,,,,,,,,,,26496,,0.0,45746.0,212135
VIC,1,2019,153900,7442,1846,78463,55827,160225,50922,314126,211753,22197,69906,102373,32756,,,,,,,,,,,,,,,,,18444,,0.0,47416.0,211753
VIC,4,2018,132457,13559,1952,48316,53206,156648,47270,289105,190046,19116,71976,99059,32756,,,,,,,,,,,,,,,,,15394,,,45732.0,190046
VIC,3,2018,128742,15942,1446,55351,45117,139488,42870,268230,170120,15041,54448,98110,32756,,,,,,,,,,,,,,,,,15213,,,46007.0,170120
