1	AAA	50	50	6,870	6,870
2	ACB	50	50	20,650	20,650
3	ACL	50	50	10,950	10,950
4	ADS	50	50	11,000	11,000
5	AGG	50	50	31,600	31,600
6	AGR	50	50	6,920	6,920
7	ANV	50	50	24,350	24,350
8	ASM	50	50	8,650	8,650
9	BAF	50	50	15,000	15,000
10	BCC	50	50	6,800	6,800
11	BCM	50	50	68,000	68,000
12	BFC	50	50	16,800	16,800
13	BIC	50	50	23,500	23,500
14	BID	50	50	33,300	33,300
15	BMI	50	50	20,400	20,400
16	BMP	50	50	56,800	56,800
17	BSI	50	50	14,000	14,000
18	BVH	50	50	48,900	48,900
19	BVS	50	50	14,400	14,400
20	BWE	50	50	41,300	41,300
21	CCL	50	50	4,940	4,940
22	CKG	50	50	14,500	14,500
23	CMG	50	50	32,000	32,000
24	CMX	50	50	7,260	7,260
25	CNG	50	50	23,100	23,100
26	CRE	50	50	11,400	11,400
27	CSC	50	50	30,000	30,000
28	CSV	50	50	32,000	32,000
29	CTD	50	50	36,650	36,650
30	CTF	50	50	17,900	17,900
31	CTG	50	50	23,350	23,350
32	CTR	50	50	46,250	46,250
33	CTS	50	50	10,100	10,100
34	D2D	50	50	20,000	20,000
35	DBC	50	50	14,000	14,000
36	DBD	50	50	38,000	38,000
37	DCL	50	50	23,500	23,500
38	DCM	50	50	25,000	25,000
39	DDG	50	50	17,000	17,000
40	DGC	50	50	50,000	50,000
41	DGW	50	50	51,200	51,200
42	DHA	50	50	28,000	28,000
43	DHC	50	50	49,400	49,400
44	DIG	50	50	12,000	12,000
45	DPG	50	50	22,550	22,550
46	DPM	50	50	40,900	40,900
47	DPR	50	50	50,900	50,900
48	DRC	50	50	20,100	20,100
49	DTD	50	50	11,100	11,100
50	DXG	50	50	8,000	8,000
51	DXS	50	50	6,500	6,500
52	EIB	50	50	27,000	27,000
53	ELC	50	50	7,990	7,990
54	EVE	50	50	9,200	9,200
55	EVF	50	50	8,000	8,000
56	FCN	50	50	8,910	8,910
