156	TLH	50	50	6,000	6,000
157	TMS	50	50	54,000	54,000
158	TNA	50	50	10,000	10,000
159	TNG	50	50	15,000	15,000
160	TNH	50	50	25,000	25,000
161	TPB	50	50	20,000	20,000
162	TTA	50	50	8,300	8,300
163	TV2	50	50	37,000	37,000
164	TVD	50	50	7,200	7,200
165	VC3	50	50	15,300	15,300
166	VCB	50	50	74,900	74,900
167	VCG	50	50	15,000	15,000
168	VCI	50	50	23,000	23,000
169	VCS	50	50	56,900	56,900
170	VGC	50	50	34,000	34,000
171	VGS	50	50	10,000	10,000
172	VHC	50	50	65,000	65,000
173	VHM	50	50	49,300	49,300
174	VIB	50	50	20,000	20,000
175	VIC	50	50	57,000	57,000
176	VIX	50	50	6,500	6,500
177	VJC	50	50	100,000	100,000
178	VND	50	50	12,800	12,800
179	VNE	50	50	7,100	7,100
180	VNM	50	50	80,700	80,700
181	VNR	50	50	18,000	18,000
182	VPB	50	50	17,000	17,000
183	VPG	50	50	18,000	18,000
184	VPI	50	50	30,000	30,000
185	VRE	50	50	27,700	27,700
186	VSC	50	50	35,000	35,000
187	VSH	50	50	28,000	28,000
188	VTO	50	50	7,800	7,800
