1	AAA	50	50	 6,200 	 6,200 
2	ACB	50	50	 20,650 	 20,650 
3	ACL	50	50	 7,500 	 7,500 
4	ADS	50	50	 8,300 	 8,300 
5	AGG	50	50	 31,600 	 31,600 
6	AGR	50	50	 5,000 	 5,000 
7	ANV	50	50	 15,000 	 15,000 
8	ASM	50	50	 5,500 	 5,500 
9	BAF	50	50	 15,000 	 15,000 
10	BCC	50	50	 5,300 	 5,300 
11	BCM	50	50	 27,800 	 27,800 
12	BFC	50	50	 13,800 	 13,800 
13	BIC	50	50	 23,500 	 23,500 
14	BID	50	50	 33,300 	 33,300 
15	BMI	50	50	 16,000 	 16,000 
16	BMP	50	50	 50,000 	 50,000 
17	BSI	50	50	 10,000 	 10,000 
18	BVH	50	50	 42,600 	 42,600 
19	BVS	50	50	 9,000 	 9,000 
20	BWE	50	50	 33,800 	 33,800 
21	CCL	50	50	 4,000 	 4,000 
22	CKG	50	50	 5,800 	 5,800 
23	CMG	50	50	 32,000 	 32,000 
24	CMX	50	50	 5,800 	 5,800 
25	CNG	50	50	 18,000 	 18,000 
26	CRE	50	50	 10,500 	 10,500 
27	CSC	50	50	 26,800 	 26,800 
28	CSV	50	50	 23,600 	 23,600 
29	CTD	50	50	 20,000 	 20,000 
30	CTF	50	50	 17,900 	 17,900 
31	CTG	50	50	 23,350 	 23,350 
32	CTR	50	50	 35,900 	 35,900 
33	CTS	50	50	 6,000 	 6,000 
34	D2D	50	50	 8,100 	 8,100 
35	DBC	50	50	 11,000 	 11,000 
36	DBD	50	50	 32,900 	 32,900 
37	DCL	50	50	 23,500 	 23,500 
38	DCM	50	50	 25,000 	 25,000 
39	DDG	50	50	 17,000 	 17,000 
40	DGC	50	50	 35,000 	 35,000 
41	DGW	50	50	 35,000 	 35,000 
42	DHA	50	50	 23,300 	 23,300 
43	DHC	50	50	 29,500 	 29,500 
44	DPG	50	50	 11,500 	 11,500 
45	DPM	50	50	 33,900 	 33,900 
46	DPR	50	50	 41,800 	 41,800 
47	DRC	50	50	 18,500 	 18,500 
48	DTD	50	50	 8,700 	 8,700 
49	DXG	50	50	 4,000 	 4,000 
50	DXS	50	50	 2,500 	 2,500 
51	EIB	50	50	 22,000 	 22,000 
52	ELC	50	50	 6,100 	 6,100 
53	EVE	50	50	 9,200 	 9,200 
54	EVF	50	50	 5,000 	 5,000 
55	FCN	50	50	 6,000 	 6,000 
56	FMC	50	50	 27,500 	 27,500 
57	FPT	50	50	 63,900 	 63,900 
58	FRT	50	50	 53,000 	 53,000 
59	FTS	50	50	 10,000 	 10,000 
60	GAS	50	50	 112,900 	 112,900 
61	GEG	50	50	 9,600 	 9,600 
62	GEX	50	50	 9,000 	 9,000 
63	GIL	50	50	 17,100 	 17,100 
64	GMD	50	50	 37,800 	 37,800 
65	GVR	50	50	 9,000 	 9,000 
66	HAH	50	50	 23,900 	 23,900 
67	HAX	50	50	 12,600 	 12,600 
68	HBC	50	50	 7,000 	 7,000 
69	HCM	50	50	 16,000 	 16,000 
70	HDB	50	50	 15,000 	 15,000 
71	HDC	50	50	 8,000 	 8,000 
72	HDG	50	50	 8,700 	 8,700 
73	HHV	50	50	 6,600 	 6,600 
74	HPG	50	50	 12,300 	 12,300 
75	HPX	50	50	 10,000 	 10,000 
76	HSG	50	50	 6,000 	 6,000 
77	HT1	50	50	 7,400 	 7,400 
78	HTN	50	50	 17,000 	 17,000 
79	IDC	50	50	 12,200 	 12,200 
80	KBC	50	50	 13,800 	 13,800 
81	KDC	50	50	 55,000 	 55,000 
82	KDH	50	50	 7,200 	 7,200 
83	KHG	50	50	 4,600 	 4,600 
84	KSB	50	50	 12,000 	 12,000 
85	LAS	50	50	 6,000 	 6,000 
86	LCG	50	50	 2,500 	 2,500 
87	LPB	50	50	 9,000 	 9,000 
88	LSS	50	50	 5,200 	 5,200 
89	MBB	50	50	 16,950 	 16,950 
90	MBS	50	50	 10,000 	 10,000 
91	MIG	50	50	 13,400 	 13,400 
92	MSB	50	50	 11,000 	 11,000 
93	MSH	50	50	 29,000 	 29,000 
94	MSN	50	50	 84,500 	 84,500 
95	MWG	50	50	 37,600 	 37,600 
96	NAF	50	50	 6,900 	 6,900 
97	NBC	50	50	 6,000 	 6,000 
98	NHH	50	50	 12,000 	 12,000 
99	NKG	50	50	 7,000 	 7,000 
100	NLG	50	50	 16,000 	 16,000 
101	NT2	50	50	 22,350 	 22,350 
102	NTL	50	50	 14,550 	 14,550 
103	NTP	50	50	 30,000 	 30,000 
104	NVB	50	50	 9,000 	 9,000 
105	NVL	50	50	 29,800 	 29,800 
106	OCB	50	50	 13,400 	 13,400 
107	ORS	50	50	 8,000 	 8,000 
108	PAN	50	50	 12,900 	 12,900 
109	PC1	50	50	 12,900 	 12,900 
110	PDR	50	50	 11,300 	 11,300 
111	PET	50	50	 13,000 	 13,000 
112	PHC	50	50	 4,700 	 4,700 
113	PHR	50	50	 15,300 	 15,300 
114	PLC	50	50	 9,500 	 9,500 
115	PLX	50	50	 23,000 	 23,000 
116	PNJ	50	50	 95,500 	 95,500 
117	POW	50	50	 9,790 	 9,790 
118	PPC	50	50	 11,000 	 11,000 
119	PTB	50	50	 33,400 	 33,400 
120	PVI	50	50	 34,400 	 34,400 
121	PVS	50	50	 17,100 	 17,100 
122	PVT	50	50	 13,700 	 13,700 
123	REE	50	50	 68,500 	 68,500 
124	SAB	50	50	 148,000 	 148,000 
125	SAM	50	50	 3,000 	 3,000 
126	SBT	50	50	 12,050 	 12,050 
127	SHB	50	50	 10,000 	 10,000 
128	SHI	50	50	 12,500 	 12,500 
